Oid,SheetName,ClassName,Name,Value,Units,
2442,Column,TraySection,ColumnSections(1).Trays(13).TrayNumber,13,,
2442,Column,TraySection,ColumnSections(1).Trays(13).VaporToTrayActualVolFlow,0.784144369,m^3/s,
2442,Column,TraySection,ColumnSections(1).Trays(13).VaporToTrayDensity,0.987555186,kg/m^3,
2442,Column,TraySection,ColumnSections(1).Trays(13).VaporToTrayDynamicViscosity,1.34E-05,(N/m^2).s,
2442,Column,TraySection,ColumnSections(1).Trays(13).VaporToTrayMassFlow,0.774385838,kg/s,
2442,Column,TraySection,ColumnSections(1).Trays(13).VaporToTrayMolecularWeight,18.24117221,g/mol,
2442,Column,TraySection,ColumnSections(1).Trays(13).VaporToTrayPressure,173747.929,Pa,
2442,Column,TraySection,ColumnSections(1).Trays(13).VaporToTrayTemperature,391.133622,K,
2442,Column,TraySection,ColumnSections(1).Trays(14).LiquidFromTrayActualVolFlow,0.00753864,m^3/s,
2442,Column,TraySection,ColumnSections(1).Trays(14).LiquidFromTrayDensity,973.5795176,kg/m^3,
2442,Column,TraySection,ColumnSections(1).Trays(14).LiquidFromTrayDynamicViscosity,0.000561356,(N/m^2).s,
2442,Column,TraySection,ColumnSections(1).Trays(14).LiquidFromTrayMassFlow,7.339465085,kg/s,
2442,Column,TraySection,ColumnSections(1).Trays(14).LiquidFromTrayMolecularWeight,27.44220345,g/mol,
2442,Column,TraySection,ColumnSections(1).Trays(14).LiquidFromTrayPressure,174437.405,Pa,
2442,Column,TraySection,ColumnSections(1).Trays(14).LiquidFromTraySurfacetension,0.038391824,N/m,
2442,Column,TraySection,ColumnSections(1).Trays(14).LiquidFromTrayTemperature,391.262054,K,
2442,Column,TraySection,ColumnSections(1).Trays(14).MaximumPressureDropPerTray,689.4759087,Pa,
2442,Column,TraySection,ColumnSections(1).Trays(14).TrayNumber,14,,
2442,Column,TraySection,ColumnSections(1).Trays(14).VaporToTrayActualVolFlow,0.783255488,m^3/s,
2442,Column,TraySection,ColumnSections(1).Trays(14).VaporToTrayDensity,0.989969664,kg/m^3,
